Source,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Col_33,Col_34,Col_35
HSX,AAA,AAA,8.66,9.26,8.06,"1,183,00","8.6214,808.635,008.641,80",8.62,"14,80",8.63,"5,00",8.64,"1,80",8.6610,8.66,10,"8.6636,008.6810,108.7040,80",8.66,"36,00",8.68,"10,10",8.70,"40,80",8.728.668.60,8.72,8.66,8.60,"42,00","42,00",,,,,,
HSX,AAM,AAM,7.00,7.49,6.51,"3,70","6.804,406.83206.8540",6.80,"4,40",6.83,20,6.85,40,"7.001,20",7.00,"1,20","7.00607.051,007.1050",7.00,60,7.05,"1,00",7.10,50,7.006.986.80,7.00,6.98,6.80,,,,,,,,
HSX,AAT,AAT,3.29,3.52,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSX,ABR,ABR,13.50,14.40,12.60,"12.801,0013.001013.101,20",12.80,"1,00",13.00,10,13.10,"1,20",14.006014.106014.2020,14.00,60,14.10,60,14.20,20,,,,,,,,,,,,,,,,
HSX,ABS,ABS,4.54,4.85,4.23,"65,40","4.512,304.524,904.541,90",4.51,"2,30",4.52,"4,90",4.54,"1,90",4.5550+0.01+0.22%,4.55,50,+0.01,+0.22%,"4.559,004.5617,904.595,00",4.55,"9,00",4.56,"17,90",4.59,"5,00",4.614.564.54,4.61,4.56,4.54,,,,,,
HSX,ABT,ABT,49.25,52.60,45.85,"26,00","49.351049.951,1050.0020",49.35,10,49.95,"1,10",50.00,20,50.0010+0.75+1.52%,50.00,10,+0.75,+1.52%,"50.801050.902051.001,20",50.80,10,50.90,20,51.00,"1,20",51.0050.3149.25,51.00,50.31,49.25,40,40,,,,
HSX,ACB9.99%,ACB9.99%,26.15,27.95,24.35,"1,731,90","26.15255,6026.20126,1026.25105,70",26.15,"255,60",26.20,"126,10",26.25,"105,70","26.257,60+0.10+0.38%",26.25,"7,60",+0.10,+0.38%,"26.3050,1026.35172,4026.40349,60",26.30,"50,10",26.35,"172,40",26.40,"349,60",26.3526.3026.20,26.35,26.30,26.20,"400,00400,00","400,00","400,00",,,
HSX,ACC,ACC,14.30,15.30,13.30,"2,80","14.2012,8014.2513,1014.305,30",14.20,"12,80",14.25,"13,10",14.30,"5,30",14.4020+0.10+0.70%,14.40,20,+0.10,+0.70%,"14.5016,6014.553,9014.601,70",14.50,"16,60",14.55,"3,90",14.60,"1,70",14.5014.4114.30,14.50,14.41,14.30,,,,,,
HSX,ACG,ACG,39.05,41.75,36.35,"14,60","38.955,0039.001,4039.053,00",38.95,"5,00",39.00,"1,40",39.05,"3,00",39.2550+0.20+0.51%,39.25,50,+0.20,+0.51%,39.509039.602039.7020,39.50,90,39.60,20,39.70,20,39.5039.4439.20,39.50,39.44,39.20,60,60,,,,
HSX,ACL,ACL,11.55,12.35,10.75,"7,50",11.354011.409011.4530,11.35,40,11.40,90,11.45,30,11.4590-0.10-0.87%,11.45,90,-0.10,-0.87%,"11.551,7011.603,8011.6514,00",11.55,"1,70",11.60,"3,80",11.65,"14,00",11.6011.5011.45,11.60,11.50,11.45,,,,,,
HSX,ADG,ADG,10.30,11.00,9.58,70,"10.151,6010.203,0010.301,10",10.15,"1,60",10.20,"3,00",10.30,"1,10",10.5510+0.25+2.43%,10.55,10,+0.25,+2.43%,"10.551,9010.605,8010.704,90",10.55,"1,90",10.60,"5,80",10.70,"4,90",10.6010.5810.50,10.60,10.58,10.50,10,10,,,,
