Tên,Giá,Thay đổi 24h,Vốn hoá thị trường,Thao tác
BTCBitcoin,"$89.321,90","-1,41%","$1,77 NT",Giao dịch|Chuyển đổi
ETHEthereum,"$2.222,34","-0,85%","$268,00 T",Giao dịch|Chuyển đổi
XRPRipple,"$2,5741","+2,98%","$149,17 T",Giao dịch|Chuyển đổi
USDTTether,"$0,99950","+0,01%","$142,65 T",Giao dịch|Chuyển đổi
BNBBNB,"$594,50","-0,64%","$86,73 T",Giao dịch|Chuyển đổi
SOLSolana,"$145,04","-0,84%","$73,70 T",Giao dịch|Chuyển đổi
USDCUSD Coin,"$1,0001","+0,01%","$57,25 T",Giao dịch|Chuyển đổi
ADACardano,"$0,90160","-7,43%","$32,41 T",Giao dịch|Chuyển đổi
DOGEDogecoin,"$0,20286","-0,90%","$30,09 T",Giao dịch|Chuyển đổi
STETHLido Staked Ether,"$2.219,64","-0,91%","$20,79 T",Giao dịch|Chuyển đổi
TRXTron,"$0,24021","-1,38%","$20,67 T",Giao dịch|Chuyển đổi
PIPi Network,"$1,8078","-6,48%","$12,74 T",Giao dịch|Chuyển đổi
WBTCWrapped Bitcoin,"$89.140,20","-1,38%","$11,50 T",Giao dịch|Chuyển đổi
LINKChainlink,"$16,9190","+3,05%","$10,80 T",Giao dịch|Chuyển đổi
HBARHedera,"$0,23817","-4,37%","$9,98 T",Giao dịch|Chuyển đổi
XLMStellar,"$0,30014","+0,23%","$9,22 T",Giao dịch|Chuyển đổi
SUISui,"$2,8457","+8,09%","$9,02 T",Giao dịch|Chuyển đổi
LEOUNUS SED LEO,"$9,7540","+0,11%","$9,01 T",Giao dịch|Chuyển đổi
AVAXAvalanche,"$21,5060","-1,01%","$8,91 T",Giao dịch|Chuyển đổi
SHIBShiba Inu,"$0,000013326","-0,28%","$7,85 T",Giao dịch|Chuyển đổi
LTCLitecoin,"$103,52","-1,15%","$7,83 T",Giao dịch|Chuyển đổi
BCHBitcoin Cash,"$388,80","-0,83%","$7,71 T",Giao dịch|Chuyển đổi
TONToncoin,"$3,0500","+0,54%","$7,55 T",Giao dịch|Chuyển đổi
OMMantraDAO,"$7,0477","-0,72%","$6,87 T",Giao dịch|Chuyển đổi
OKBOKB,"$42,9400","-1,84%","$6,86 T",Giao dịch|Chuyển đổi
DOTPolkadot,"$4,4290","-2,13%","$6,74 T",Giao dịch|Chuyển đổi
UNIUniswap,"$7,1820","-4,51%","$4,31 T",Giao dịch|Chuyển đổi
NEARNear Protocol,"$3,1790","+6,40%","$3,78 T",Giao dịch|Chuyển đổi
ONDOOndo,"$1,1338","+1,31%","$3,58 T",Giao dịch|Chuyển đổi
APTAptos,"$6,0320","-2,82%","$3,56 T",Giao dịch|Chuyển đổi
DAIDAI,"$1,0002","-0,01%","$3,29 T",Giao dịch|Chuyển đổi
AAVEAAVE,"$213,82","-1,08%","$3,23 T",Giao dịch|Chuyển đổi
ETCEthereum Classic,"$20,1200","-1,56%","$3,04 T",Giao dịch|Chuyển đổi
ICPInternet Computer,"$6,2000","+1,23%","$2,98 T",Giao dịch|Chuyển đổi
PEPEPepe,"$0,0000069500","-0,12%","$2,92 T",Giao dịch|Chuyển đổi
TRUMPOFFICIAL TRUMP,"$13,1490","+1,07%","$2,63 T",Giao dịch|Chuyển đổi
CROCronos,"$0,089770","+16,62%","$2,46 T",Giao dịch|Chuyển đổi
POLPolygon,"$0,24980","-0,47%","$2,15 T",Giao dịch|Chuyển đổi
ALGOAlgorand,"$0,24450","-1,33%","$2,07 T",Giao dịch|Chuyển đổi
RENDERRender,"$3,9220","+7,13%","$2,03 T",Giao dịch|Chuyển đổi
FILFilecoin,"$3,0870","+0,99%","$1,98 T",Giao dịch|Chuyển đổi
ATOMCosmos,"$4,3370","+3,02%","$1,90 T",Giao dịch|Chuyển đổi
ARBArbitrum,"$0,40750","-1,75%","$1,80 T",Giao dịch|Chuyển đổi
SSonic,"$0,55480","-5,35%","$1,76 T",Giao dịch|Chuyển đổi
TIACelestia,"$3,2450","-1,12%","$1,74 T",Giao dịch|Chuyển đổi
FETFetch.ai,"$0,63710","+6,78%","$1,66 T",Giao dịch|Chuyển đổi
JUPJupiter,"$0,61520","-3,02%","$1,66 T",Giao dịch|Chuyển đổi
OPOptimism,"$0,97930","+1,29%","$1,59 T",Giao dịch|Chuyển đổi
IPStory Protocol,"$5,3131","+0,36%","$1,33 T",Giao dịch|Chuyển đổi
MOVEMovement,"$0,48440","+19,23%","$1,16 T",Giao dịch|Chuyển đổi
INJInjective,"$11,8140","+1,74%","$1,15 T",Giao dịch|Chuyển đổi
IMXImmutable X,"$0,62840","+0,50%","$1,11 T",Giao dịch|Chuyển đổi
STXStacks,"$0,72390","+0,66%","$1,10 T",Giao dịch|Chuyển đổi
MKRMaker,"$1.283,20","-5,30%","$1,09 T",Giao dịch|Chuyển đổi
THETATheta Network,"$1,0716","+1,10%","$1,07 T",Giao dịch|Chuyển đổi
WLDWorldcoin,"$0,98300","+2,08%","$1,06 T",Giao dịch|Chuyển đổi
GRTThe Graph,"$0,10880","+2,16%","$1,04 T",Giao dịch|Chuyển đổi
LDOLido DAO,"$1,1567","+1,03%","$1,04 T",Giao dịch|Chuyển đổi
FLRFlare Network,"$0,016750","-1,29%","$990,40 Tr",Giao dịch|Chuyển đổi
BONKBonk,"$0,000012462","+3,11%","$964,80 Tr",Giao dịch|Chuyển đổi
EOSEOS,"$0,54620","+0,89%","$828,52 Tr",Giao dịch|Chuyển đổi
GALAGala,"$0,018820","+4,27%","$816,34 Tr",Giao dịch|Chuyển đổi
XTZTezos,"$0,77490","+2,76%","$800,67 Tr",Giao dịch|Chuyển đổi
IOTAMIOTA,"$0,21360","-0,56%","$783,84 Tr",Giao dịch|Chuyển đổi
SANDThe Sandbox,"$0,31420","+2,25%","$768,49 Tr",Giao dịch|Chuyển đổi
JTOJito,"$2,5410","-2,31%","$766,10 Tr",Giao dịch|Chuyển đổi
PYUSDPayPal USD,"$0,99940","-0,04%","$763,52 Tr",Giao dịch|Chuyển đổi
BERABerachain,"$6,8720","+4,56%","$742,08 Tr",Giao dịch|Chuyển đổi
BSVBitcoin SV,"$36,1800","-2,95%","$717,59 Tr",Giao dịch|Chuyển đổi
XAUTTether Gold,"$2.910,80","-0,17%","$717,58 Tr",Giao dịch|Chuyển đổi
BTTBittorrent,"$0,00000072560","+2,07%","$715,49 Tr",Giao dịch|Chuyển đổi
FLOKIFLOKI,"$0,000073560","+0,18%","$711,03 Tr",Giao dịch|Chuyển đổi
ENSEthereum Name Service,"$21,0200","+1,48%","$697,14 Tr",Giao dịch|Chuyển đổi
FLOWFLOW,"$0,44040","-0,36%","$690,60 Tr",Giao dịch|Chuyển đổi
KAIAKAIA,"$0,11750","+0,51%","$688,16 Tr",Giao dịch|Chuyển đổi
PYTHPyth Network,"$0,18350","+2,11%","$665,19 Tr",Giao dịch|Chuyển đổi
NEONEO,"$9,0780","+1,20%","$640,27 Tr",Giao dịch|Chuyển đổi
RAYRaydium,"$2,1260","-1,13%","$618,34 Tr",Giao dịch|Chuyển đổi
EGLDMultiversX,"$20,7100","-2,50%","$579,74 Tr",Giao dịch|Chuyển đổi
RONRonin Network,"$0,93390","+1,29%","$578,45 Tr",Giao dịch|Chuyển đổi
WIFdogwifhat,"$0,57570","+1,71%","$575,08 Tr",Giao dịch|Chuyển đổi
AXSAxie Infinity,"$3,5440","+1,81%","$564,31 Tr",Giao dịch|Chuyển đổi
