Source,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Col_33,Col_34,Col_35
HSX,AAA,AAA,8.84,9.45,8.23,"1,720,60","8.8470,308.8542,208.8675,70",8.84,"70,30",8.85,"42,20",8.86,"75,70","8.86113,60+0.02+0.23%",8.86,"113,60",+0.02,+0.23%,"8.9033,808.9121,608.9250,80",8.90,"33,80",8.91,"21,60",8.92,"50,80",8.938.898.84,8.93,8.89,8.84,"193,1040,70","193,10","40,70",,,
HSX,AAM,AAM,6.99,7.47,6.51,"6,80","6.801,906.812,006.8210",6.80,"1,90",6.81,"2,00",6.82,10,7.0510+0.06+0.86%,7.05,10,+0.06,+0.86%,"7.20507.25407.291,00",7.20,50,7.25,40,7.29,"1,00",7.107.056.71,7.10,7.05,6.71,"4,50","4,50",,,,
HSX,AAT,AAT,3.34,3.57,3.11,"98,00","3.271,003.295,003.304,70",3.27,"1,00",3.29,"5,00",3.30,"4,70","3.3035,40-0.04-1.20%",3.30,"35,40",-0.04,-1.20%,"3.37103.381,003.3926,00",3.37,10,3.38,"1,00",3.39,"26,00",3.403.363.30,3.40,3.36,3.30,,,,,,
HSX,ABR,ABR,13.90,14.85,12.95,20,"13.001,0013.4020",13.00,"1,00",13.40,20,14.1020+0.20+1.44%,14.10,20,+0.20,+1.44%,14.109014.203014.8540,14.10,90,14.20,30,14.85,40,14.1014.1014.10,14.10,14.10,14.10,,,,,,,,
HSX,ABS,ABS,4.74,5.07,4.41,"433,50","4.686,504.694,004.702,50",4.68,"6,50",4.69,"4,00",4.70,"2,50","4.709,00-0.04-0.84%",4.70,"9,00",-0.04,-0.84%,"4.724,804.737,104.7411,10",4.72,"4,80",4.73,"7,10",4.74,"11,10",4.844.714.66,4.84,4.71,4.66,,,,,,
HSX,ABT,ABT,46.60,49.85,43.35,"19,60","46.651,2046.702046.7530",46.65,"1,20",46.70,20,46.75,30,47.4020+0.80+1.72%,47.40,20,+0.80,+1.72%,47.402047.455047.5040,47.40,20,47.45,50,47.50,40,48.0047.0046.60,48.00,47.00,46.60,5010,50,10,,,
HSX,ACB9.99%,ACB9.99%,26.10,27.90,24.30,"5,469,90","25.90385,1025.95154,3026.0025,40",25.90,"385,10",25.95,"154,30",26.00,"25,40","26.00367,70-0.10-0.38%",26.00,"367,70",-0.10,-0.38%,"26.0512,9026.10242,9026.15254,90",26.05,"12,90",26.10,"242,90",26.15,"254,90",26.2025.9725.80,26.20,25.97,25.80,"3,910,773,910,80","3,910,77","3,910,80",,,
HSX,ACC,ACC,14.40,15.40,13.40,"85,10","14.1520,0014.2017,5014.2516,80",14.15,"20,00",14.20,"17,50",14.25,"16,80",14.3010-0.10-0.69%,14.30,10,-0.10,-0.69%,"14.305014.351,0014.408,00",14.30,50,14.35,"1,00",14.40,"8,00",14.4514.3514.25,14.45,14.35,14.25,,,,,,
HSX,ACG,ACG,39.50,42.25,36.75,"4,30",38.908038.955039.0010,38.90,80,38.95,50,39.00,10,39.0530-0.45-1.14%,39.05,30,-0.45,-1.14%,"39.102,2039.301,0039.4510",39.10,"2,20",39.30,"1,00",39.45,10,39.1039.0539.00,39.10,39.05,39.00,,,,,,
HSX,ACL,ACL,11.80,12.60,11.00,"63,10","11.401,6011.456,3011.506,00",11.40,"1,60",11.45,"6,30",11.50,"6,00",11.7010-0.10-0.85%,11.70,10,-0.10,-0.85%,"11.701,7011.751,0011.804,30",11.70,"1,70",11.75,"1,00",11.80,"4,30",11.7011.5311.50,11.70,11.53,11.50,70,70,,,,
