Xếp hạng,Tên,Mã,Giá hiện tại,Thay đổi 24h,Vốn hóa thị trường
1,Bitcoin,BTC,"92.062,00 $","+5,41%","1,82 NT $"
2,Ethereum,ETH,"2.287,21 $","+5,03%","275,20 T $"
3,XRP,XRP,"2,53 $","+0,81%","146,16 T $"
4,Tether,USDT,"1,00 $","+0,03%","142,72 T $"
5,Solana,SOL,"148,77 $","+3,08%","75,45 T $"
6,USDC,USDC,"1,00 $","+0,01%","57,09 T $"
7,Cardano,ADA,"0,97 $","-0,41%","34,92 T $"
8,Dogecoin,DOGE,"0,21 $","+2,48%","30,71 T $"
9,TRON,TRX,"0,24 $","+0,78%","21,08 T $"
10,Wrapped Bitcoin,WBTC,"91.929,00 $","+5,33%","11,81 T $"
11,Chainlink,LINK,"17,26 $","+15,09%","11,02 T $"
12,Stellar,XLM,"0,30 $","+0,51%","9,25 T $"
13,Avalanche,AVAX,"22,17 $","+10,16%","9,18 T $"
14,Sui,SUI,"2,66 $","+5,73%","8,42 T $"
15,USDS,USDS,"1,00 $","-0,08%","8,21 T $"
16,Litecoin,LTC,"106,81 $","+2,32%","8,08 T $"
17,Shiba Inu,SHIB,"0,000014 $","+3,46%","7,95 T $"
18,Bitcoin Cash,BCH,"395,56 $","+14,58%","7,85 T $"
19,Toncoin,TON,"3,04 $","-2,77%","7,53 T $"
20,Polkadot,DOT,"4,55 $","+4,30%","6,92 T $"
21,Mantra,OM,"7,06 $","-1,06%","6,88 T $"
22,Uniswap,UNI,"7,64 $","+7,59%","4,59 T $"
23,Monero,XMR,"231,01 $","+1,29%","4,26 T $"
24,Ondo,ONDO,"1,17 $","+17,87%","3,69 T $"
25,Aptos,APT,"6,24 $","+11,66%","3,68 T $"
26,NEAR Protocol,NEAR,"3,03 $","+5,51%","3,60 T $"
27,Aave,AAVE,"238,27 $","+15,29%","3,59 T $"
28,Dai,DAI,"1,00 $","+0,01%","3,25 T $"
29,Ethereum Classic,ETC,"20,91 $","+9,72%","3,15 T $"
30,Internet Computer,ICP,"6,40 $","+5,55%","3,08 T $"
31,Pepe,PEPE,"0,0000072 $","+1,95%","3,02 T $"
32,Official Trump,TRUMP,"13,37 $","-0,43%","2,67 T $"
33,Bittensor,TAO,"304,03 $","+3,26%","2,57 T $"
34,Mantle,MNT,"0,75 $","+2,77%","2,51 T $"
35,Cronos,CRO,"0,087 $","+18,39%","2,38 T $"
36,Polygon Ecosystem Token,POL,"0,26 $","+3,31%","2,21 T $"
37,Algorand,ALGO,"0,25 $","+5,23%","2,15 T $"
38,Filecoin,FIL,"3,15 $","+4,36%","2,02 T $"
39,Render,RENDER,"3,79 $","+6,58%","1,96 T $"
40,Kaspa,KAS,"0,076 $","+0,45%","1,95 T $"
41,Cosmos,ATOM,"4,35 $","+3,99%","1,91 T $"
42,Ethena,ENA,"0,36 $","-2,93%","1,87 T $"
43,Arbitrum,ARB,"0,42 $","+11,49%","1,87 T $"
44,Celestia,TIA,"3,39 $","-0,35%","1,82 T $"
45,Jupiter,JUP,"0,63 $","-1,73%","1,70 T $"
46,Optimism,OP,"1,01 $","+7,86%","1,64 T $"
47,Fetch.ai,FET,"0,63 $","+5,93%","1,63 T $"
48,Quant,QNT,"87,79 $","-1,67%","1,28 T $"
49,Injective,INJ,"12,36 $","+11,02%","1,21 T $"
50,Maker,MKR,"1.363,80 $","-0,41%","1,16 T $"
51,Immutable X,IMX,"0,66 $","+7,63%","1,16 T $"
52,Stacks,STX,"0,75 $","+6,16%","1,13 T $"
53,Movement,MOVE,"0,47 $","+15,19%","1,12 T $"
54,Sei,SEI,"0,23 $","+5,00%","1,09 T $"
55,Lido DAO Token,LDO,"1,20 $","+9,29%","1,08 T $"
56,Worldcoin,WLD,"0,99 $","+1,94%","1,07 T $"
57,The Graph,GRT,"0,11 $","+4,00%","1,06 T $"
58,Flare Network,FLR,"0,018 $","+5,75%","1,04 T $"
59,Bonk,BONK,"0,000012 $","+2,62%","961,23 Tr $"
60,JasmyCoin,JASMY,"0,018 $","+6,85%","871,54 Tr $"
61,EOS,EOS,"0,56 $","+4,48%","851,01 Tr $"
62,GALA,GALA,"0,019 $","+7,53%","826,77 Tr $"
63,Tezos,XTZ,"0,78 $","+5,13%","809,90 Tr $"
64,Jito,JTO,"2,66 $","+11,43%","803,00 Tr $"
65,The Sandbox,SAND,"0,32 $","+4,30%","773,19 Tr $"
66,PayPal USD,PYUSD,"1,00 $","-0,02%","764,56 Tr $"
67,Berachain,BERA,"7,03 $","+5,73%","759,85 Tr $"
68,FLOKI,FLOKI,"0,000076 $","+3,97%","732,78 Tr $"
69,BitTorrent,BTT,"0,00000075 $","+5,88%","731,95 Tr $"
70,Marinade staked SOL,MSOL,"189,25 $","+2,96%","729,28 Tr $"
71,Ethereum Name Service,ENS,"21,91 $","+6,26%","725,53 Tr $"
72,Flow,FLOW,"0,46 $","+3,44%","717,96 Tr $"
73,Pyth Network,PYTH,"0,19 $","+7,86%","681,04 Tr $"
74,Raydium,RAY,"2,21 $","+1,59%","642,18 Tr $"
75,PAX Gold,PAXG,"2.936,29 $","+0,33%","615,17 Tr $"
76,Grass,GRASS,"2,52 $","+7,63%","613,09 Tr $"
77,Helium,HNT,"3,43 $","+13,65%","613,06 Tr $"
78,MultiversX,EGLD,"21,90 $","+1,67%","612,83 Tr $"
79,dogwifhat,WIF,"0,58 $","+1,34%","579,14 Tr $"
80,Zcash,ZEC,"36,33 $","-1,73%","577,26 Tr $"
81,Axie Infinity Shards,AXS,"3,63 $","+6,17%","576,94 Tr $"
82,Curve DAO,CRV,"0,45 $","+4,62%","574,91 Tr $"
83,Virtuals Protocol,VIRTUAL,"0,88 $","-1,88%","566,72 Tr $"
84,Decentraland,MANA,"0,29 $","+6,09%","547,94 Tr $"
85,Aerodrome Finance,AERO,"0,66 $","+13,36%","524,29 Tr $"
86,Onyxcoin,XCN,"0,016 $","-1,54%","511,73 Tr $"
87,Starknet Token,STRK,"0,19 $","+3,76%","510,38 Tr $"
88,True USD,TUSD,"1,00 $","+0,35%","494,53 Tr $"
89,dYdX,DYDX,"0,66 $","+6,31%","492,86 Tr $"
90,Kava,KAVA,"0,45 $","+6,74%","485,76 Tr $"
91,Compound,COMP,"52,39 $","+5,57%","463,49 Tr $"
92,SPX6900,SPX,"0,50 $","+7,87%","462,33 Tr $"
93,Chiliz,CHZ,"0,049 $","+3,17%","461,63 Tr $"
94,ApeCoin,APE,"0,58 $","+3,91%","461,48 Tr $"
95,Polygon,MATIC,"0,26 $","+2,41%","458,81 Tr $"
96,Kaito,KAITO,"1,84 $","+2,77%","444,89 Tr $"
97,THORChain,RUNE,"1,26 $","+5,48%","441,89 Tr $"
98,Pendle,PENDLE,"2,55 $","+3,57%","421,99 Tr $"
99,Pudgy Penguins,PENGU,"0,0066 $","-1,92%","412,95 Tr $"
100,Morpho,MORPHO,"1,73 $","-1,55%","407,78 Tr $"
101,tBTC,TBTC,"91.121,00 $","+4,48%","394,20 Tr $"
102,Reserve Rights,RSR,"0,0069 $","+5,13%","386,05 Tr $"
103,Beam,BEAM,"0,0071 $","+5,29%","374,94 Tr $"
104,Gnosis,GNO,"143,21 $","+3,84%","371,13 Tr $"
105,Mina,MINA,"0,30 $","+4,09%","365,70 Tr $"
106,Terra Classic,LUNA,"0,000066 $","+2,86%","357,98 Tr $"
107,Akash Network,AKT,"1,44 $","+3,55%","356,08 Tr $"
108,EigenLayer,EIGEN,"1,46 $","+5,16%","355,77 Tr $"
109,1inch,1INCH,"0,24 $","+4,67%","327,23 Tr $"
110,Wormhole,W,"0,11 $","+1,94%","320,54 Tr $"
111,ai16z,AI16Z,"0,29 $","-0,17%","320,36 Tr $"
112,ZKSync,ZK,"0,087 $","+6,20%","320,09 Tr $"
113,Synthetix Network Token,SNX,"0,94 $","+0,65%","319,11 Tr $"
114,Fartcoin,FARTCOIN,"0,32 $","+21,06%","316,89 Tr $"
115,Dash,DASH,"24,97 $","+3,31%","303,58 Tr $"
116,Kusama,KSM,"18,57 $","+4,03%","300,34 Tr $"
117,SuperVerse,SUPER,"0,61 $","+17,14%","276,02 Tr $"
118,Blur,BLUR,"0,12 $","+4,79%","273,20 Tr $"
119,Safe,SAFE,"0,48 $","+2,35%","266,54 Tr $"
120,Notcoin,NOT,"0,0026 $","-5,68%","266,33 Tr $"
121,Echelon Prime,PRIME,"4,69 $","+10,17%","264,13 Tr $"
122,Astar,ASTR,"0,035 $","+2,88%","264,00 Tr $"
123,LayerZero,ZRO,"2,27 $","+3,61%","252,74 Tr $"
124,Qtum,QTUM,"2,39 $","+2,73%","252,14 Tr $"
125,Basic Attention Token,BAT,"0,16 $","+4,61%","243,83 Tr $"
126,Livepeer,LPT,"6,32 $","+4,24%","243,63 Tr $"
127,Aethir,ATH,"0,036 $","+1,25%","243,21 Tr $"
128,0X,ZRX,"0,29 $","+4,80%","242,79 Tr $"
129,Popcat,POPCAT,"0,23 $","+9,56%","228,45 Tr $"
130,Stargate Finance,STG,"0,23 $","+3,65%","224,84 Tr $"
131,Mask Network,MASK,"2,21 $","+0,53%","221,25 Tr $"
132,Arkham,ARKM,"0,60 $","+11,35%","220,09 Tr $"
133,Mog Coin,MOG,"0,00000055 $","+6,96%","213,99 Tr $"
134,Solayer,LAYER,"1,00 $","+7,95%","209,53 Tr $"
135,Osmosis,OSMO,"0,29 $","+5,18%","209,20 Tr $"
136,Drift Protocol,DRIFT,"0,71 $","-4,15%","203,27 Tr $"
