ACB9.99%,-0.37,26.10,27.90,24.30,"5,469,90",25.90,"385,10",25.95,"154,30",26.00,"25,40",26.00,"367,70",-0.10,-0.38%,26.05,"12,90",26.10,"242,90",26.15,"254,90",26.20,25.97,25.80,"3,910,77","3,910,80"
BID,,40.95,43.80,38.10,"3,051,60",40.80,"123,80",40.85,"2,60",40.90,20,40.95,"334,20",,,40.95,"11,10",41.00,"63,10",41.05,"8,20",40.95,40.82,40.70,"88,30","462,67"
CTG9.99%,,41.50,44.40,38.60,"5,529,30",41.40,"16,20",41.45,"8,20",41.50,"399,50",41.50,"578,50",,,41.55,"72,90",41.60,"108,90",41.65,"26,90",41.60,41.26,41.00,"1,082,70","203,07"
GAS5.99%,,68.00,72.70,63.30,"787,60",67.80,"14,10",67.90,"26,00",68.00,"103,10",68.00,"42,60",,,68.10,"21,10",68.20,"22,70",68.30,"15,50",68.70,68.26,68.00,"171,02","131,22"
HDB,-0.36,23.20,24.80,21.60,"10,152,10",22.95,"147,40",23.00,"107,40",23.05,"30,00",23.05,"485,20",-0.15,-0.65%,23.10,"49,90",23.15,"119,70",23.20,"505,60",23.20,22.96,22.80,"1,042,90","1,336,52"
LPB,-1.58,36.75,39.30,34.20,"2,994,60",36.05,"64,70",36.10,"115,80",36.15,"55,00",36.15,"235,00",-0.60,-1.63%,36.20,"20,40",36.25,"48,20",36.30,"26,40",36.70,36.21,36.05,"78,30","664,60"
MSN9.99%,-0.51,68.40,73.10,63.70,"3,925,40",67.50,"229,80",67.60,"222,40",67.70,"11,50",67.70,"368,60",-0.70,-1.02%,67.80,"1,80",67.90,"17,80",68.00,"62,30",68.50,67.84,67.50,"45,20","1,172,60"
PLX,0.06,42.95,45.95,39.95,"1,736,70",43.40,"50,00",43.45,"2,00",43.50,"10,00",43.55,"219,50",+0.60,+1.40%,43.55,"8,20",43.60,"21,90",43.65,"16,90",43.70,43.35,42.95,"104,80","17,80"
SHB,-0.14,10.05,10.75,9.35,"16,586,20",9.98,"1,053,30",9.99,"260,10",10.00,"261,20",10.00,"1,267,30",-0.05,-0.50%,10.05,"1,535,60",10.10,"1,526,20",10.15,"1,495,30",10.05,10.00,9.98,"184,30","2,418,15"
SSI5.99%,0.25,26.10,27.90,24.30,"41,396,50",26.20,"668,10",26.25,"667,50",26.30,"11,60",26.30,"2,098,80",+0.20,+0.77%,26.35,"88,50",26.40,"371,50",26.45,"239,00",26.80,26.44,26.20,"1,113,62","3,171,21"
TCB5.99%,-0.64,26.25,28.05,24.45,"12,220,90",26.00,"980,00",26.05,"879,50",26.10,"227,00",26.10,"1,479,40",-0.15,-0.57%,26.15,"150,60",26.25,"186,60",26.30,"412,00",26.30,26.16,26.05,"1,444,20","1,702,80"
VCB,-0.40,94.00,100.50,87.50,"2,070,80",93.10,"50,80",93.20,"72,10",93.30,"87,00",93.30,"222,70",-0.70,-0.74%,93.50,"3,00",93.60,"1,60",93.70,"24,00",94.20,93.69,93.30,"62,05","708,48"
VIB9.99%,0.18,20.65,22.05,19.25,"12,878,60",20.60,"465,20",20.65,"203,70",20.70,"17,00",20.75,"523,80",+0.10,+0.48%,20.75,"383,20",20.80,"819,80",20.85,"369,80",20.90,20.64,20.45,,"2,65"
VJC,-0.25,96.90,103.60,90.20,"550,10",95.80,"17,10",95.90,"26,30",96.00,"18,40",96.00,"41,00",-0.90,-0.93%,96.30,"1,60",96.40,10,96.50,10,97.00,96.26,96.00,"3,00","90,31"
VPB9.99%,,19.30,20.65,17.95,"9,236,60",19.20,"254,80",19.25,"215,60",19.30,"14,00",19.30,"618,40",,,19.35,"151,20",19.40,"510,50",19.45,"334,00",19.40,19.26,19.10,"3,358,30","898,00"
